OBJECTID,polygon,Name,Address,MapBlockLot,MBL_Unique,Date,Retrofit_Date,Description,Height_ft,Stories_Above_Grade,Stories_Below_Grade,Occupancy,Structural_Material,Structural_System,Structural_Types,Facade_Material,Foundation_System,BORP_Report,Instrumented,Square_Footage,Fire_Resistence_Type,Percent_Sprinklered,Liquefaction_Potential,BedrockDepth_MEAN,BedrockDepth_MAX,BedrockDepth_MIN,Permit_Date_1,Permit_Date_2,Permit_Date_3,Completion_Date,Building_Code_Year,Base_Plan_Size,Tower_Plan_Size,Typ_Story_Height,Attyp_Story_Height,Architectural_Notes,Atrium_Location,MEP_levels,Site_Class,Foundation_Info,Collected_on,Primary_Source,Shape_Length,Shape_Area
130,"POLYGON ((-122.42421075951101 37.78483097109771, -122.42419733024093 37.78483262320361, -122.42419466841085 37.78481947103129, -122.42418520534628 37.78482067538885, -122.42418491720642 37.78482081797751, -122.42418531959459 37.7848228058029, -122.42413110176108 37.784828801439744, -122.42413082707843 37.784828937500144, -122.42410883660402 37.78487444733207, -122.424112123987 37.78487514800155, -122.42409780378668 37.78490447387525, -122.42409401499795 37.78490409951753, -122.4240937380215 37.78490423471404, -122.4240730327964 37.78495083476344, -122.42410751293383 37.7849827591238, -122.42410565842087 37.78498384831818, -122.4241123440053 37.78499101653639, -122.42411263559784 37.78499087569403, -122.42412615468795 37.78498366072466, -122.42417453341804 37.7850298083512, -122.42417482723408 37.78502966566993, -122.42417749769162 37.78502794312109, -122.42417705015694 37.78503188243305, -122.42416589984991 37.78504093958855, -122.42417258431024 37.78504810782182, -122.4241728770146 37.7850479660599, -122.42417332784066 37.78504770365805, -122.42419414526648 37.78506906971576, -122.42423042841011 37.78507937507017, -122.42423070883882 37.78507924161942, -122.42423166430646 37.78507838338808, -122.42424747301934 37.78508292706143, -122.42424699687236 37.78508471022927, -122.42429394427879 37.78509892853276, -122.42429422130228 37.78509879513743, -122.42433073066549 37.78507497129977, -122.42432955543504 37.78507278250043, -122.42434326410445 37.78506442617536, -122.4243453263327 37.785065437026645, -122.42434560560278 37.78506530269334, -122.42437669825706 37.78504493599778, -122.42438980296069 37.785020459549024, -122.42439001120003 37.78502052013652, -122.42439030503891 37.78502037835555, -122.42439199843507 37.78501635832613, -122.4243921265981 37.78501608947416, -122.42439351646509 37.78501275752116, -122.4243797186002 37.785006277676985, -122.42440598867 37.784948799177755, -122.42442264890163 37.7849511470833, -122.42442294160514 37.78495100532074, -122.42442619908759 37.78494402269614, -122.42442452663556 37.78494350475828, -122.4244438151279 37.784904028454385, -122.424404109485 37.7848652825568, -122.42440383806783 37.784865413157235, -122.42440310609541 37.78486591266285, -122.42437817962475 37.78484193619389, -122.42437915192383 37.78484093889916, -122.42433931335647 37.78480205636262, -122.42428660375808 37.78480937477358, -122.42428630545407 37.784807898042025, -122.42427684352751 37.784809102388444, -122.42427655872304 37.784809242219254, -122.42427925166021 37.78482254258304, -122.42426064833126 37.784824831588075, -122.42421075951101 37.78483097109771))",Cathedral Hill Tower,1200 Gough Street,713035,713035,1964,,24 story RC shear wall building; triangular shape,246,24,1,Residential,RC,RC Shear Wall,RC Shear Wall,concrete,Footings,,,130744,Type II - Noncombustible,10,Moderate,109,118,87,1964,,,1964,,,,9',1st 15',,,top of building,,,2.01802E+13,Plans at DBI,363.4886959,7456.176371
129,"POLYGON ((-122.40245880048937 37.79372054949501, -122.40251512242975 37.793712324753905, -122.40252261827486 37.79374895249054, -122.40278578049276 37.79371493649841, -122.40278581561891 37.79371488906858, -122.40273708233886 37.793473509245565, -122.4027135868309 37.79347706874978, -122.40270431887322 37.793434752334775, -122.402530186446 37.793454862576716, -122.40251317735267 37.793372278771955, -122.40239658881049 37.793387138153825, -122.40245880048937 37.79372054949501))",456 Montgomery Plaza,456 Montgomery Street,239013,239013,1982,,26 story WSMF with eccentric bracing,373,26,2,"Office (Management, Information, Professional Services)",Steel,Dual: Steel Moment Frame and Steel Braced Frame - Eccentric,Steel Braced Frame,concrete,Pile,,,270000,Type I - Fire resistive,100,Very High,163,173,150,1982,,,,,147x94,109x90,"13'11""",,,,,,,2.01802E+13,Plans at DBI,456.8466199,10502.28497
128,"POLYGON ((-122.39182290299026 37.79199551528967, -122.39186874534576 37.79203232595477, -122.3918576530923 37.79204144752357, -122.39226994179985 37.79235775314351, -122.39226998289611 37.7923577614961, -122.3923361574671 37.79240892999639, -122.39230825157095 37.79243064997909, -122.39238101893592 37.792489002533564, -122.39241498761339 37.79246258546052, -122.39260370798522 37.79231581906185, -122.39257347533493 37.792291558909945, -122.3925730234621 37.79229116242099, -122.3925725107485 37.79229078493271, -122.39255634809257 37.79227781459776, -122.39254598249721 37.79226910495852, -122.39253301109987 37.79225903395902, -122.39254454999211 37.79225068470366, -122.39253427846577 37.79223470439995, -122.392530127471 37.79222360143661, -122.39252630849218 37.7922094398474, -122.39252506752898 37.792196485055555, -122.3925241143603 37.792184974789016, -122.39252485403178 37.79217251271166, -122.39252274669131 37.79216450864934, -122.39251232252039 37.79216165420265, -122.39248654793838 37.79215608655489, -122.39247625259397 37.79214955310369, -122.39246098203417 37.7921390557758, -122.39245221848739 37.7921279250023, -122.39244512505829 37.792117134216, -122.39244075676619 37.79210628256961, -122.39243911168141 37.792095294392894, -122.39243700529195 37.7920856338913, -122.39244016822218 37.79206581059766, -122.39244161712038 37.79205622281008, -122.39241495154934 37.79202901609264, -122.39239567557358 37.79201628946254, -122.39236262237226 37.791988605770904, -122.39249164256263 37.791899696368674, -122.39251446724084 37.79192137271203, -122.39253492746614 37.79193636307858, -122.39256592850877 37.79196056764831, -122.39257807766037 37.79196047989228, -122.3926032502787 37.79196021013531, -122.3926151065492 37.79196297850264, -122.3926286581303 37.79196551598406, -122.39264176471919 37.791970199176205, -122.39265444332162 37.79197702690507, -122.3926571316991 37.79197873209944, -122.39266738779672 37.79198524093097, -122.39267874954427 37.79199850370107, -122.39268576546927 37.792007411289354, -122.39269343454754 37.79202389927902, -122.39269822112519 37.79202612053079, -122.3927071106446 37.79202713319017, -122.39272490217478 37.792024970386734, -122.39274000689859 37.792026599739756, -122.39275494267767 37.79202757121632, -122.39277324810624 37.79203229260529, -122.39278534711453 37.79203638544175, -122.39281321317874 37.792045547719184, -122.39282060123809 37.79204111953894, -122.39282616366455 37.79204606620515, -122.3928414090302 37.79205962800264, -122.39285658964094 37.792071896701124, -122.39286812159921 37.792080118059864, -122.39287580884663 37.79208560017828, -122.39288380387542 37.79209535990214, -122.3930651783297 37.79195029137143, -122.39306195439532 37.79194838209901, -122.3930989901767 37.79191965714641, -122.39302803698307 37.791861995068444, -122.39299963734746 37.791884021450414, -122.39292629503203 37.79182159872808, -122.3929240312359 37.79182327346864, -122.3925429177566 37.79151969588659, -122.39254436332257 37.79151844433643, -122.39248129238784 37.79147041191725, -122.39233794392148 37.79158598825147, -122.39238428126045 37.791623594653856, -122.39226726852561 37.79171259243138, -122.39225796622553 37.79171966750723, -122.3922526176888 37.79172373578357, -122.3922398682885 37.791713591797304, -122.39223984063108 37.79171357601941, -122.39222259778734 37.791727241091415, -122.39219106925361 37.79170287276762, -122.3921841589399 37.79170826744928, -122.39216612546139 37.79169362379871, -122.39209980922898 37.79174503401801, -122.39211808982489 37.791759882793706, -122.39211071304331 37.791765645439845, -122.39214280806428 37.79179045169427, -122.39212323968567 37.791805955585836, -122.39213066992012 37.79181187265403, -122.39201196236688 37.791914559693105, -122.39196598467699 37.791879970031395, -122.39182290299026 37.79199551528967))",121 Spear Street,121 Spear Street,3716021,3716021,1990,,24 story RC frame with shear wall (small portion); two towers on same base; curving shape,280,24,2,Mixed Uses (With Residential),RC,Dual: RC Shear Wall and RC Moment Frame,RC Shear Wall,concrete,Pile,TRUE,,572535,Type I - Fire resistive,100,Very High,249,270,212,1985,,,1990,,295x255,116x105,"12'4""",,,,,,,2.01802E+13,BORP Reports,1393.895535,54170.80339
127,"POLYGON ((-122.40179551013053 37.79062824792759, -122.4017954932323 37.79062834192612, -122.4018590247917 37.79094231758841, -122.4022444005282 37.79089340164387, -122.40224442664568 37.79089331290383, -122.4021809169218 37.7905793208467, -122.40179551013053 37.79062824792759))",Bank of the West,180 Montgomery Street,289009,289009,1978,,25 story WSMF; space frame,324,25,1,"Office (Management, Information, Professional Services)",Steel,Steel Moment Frame - Space,Steel Moment Frame,concrete,Pile,,,338200,Type I - Fire resistive,100,Very High,182,189,175,1978,,,,,152x109,112x109,"13'6""",,,,,,,2.01802E+13,Plans at DBI,457.2096391,13063.81096
126,"POLYGON ((-122.4034720743959 37.79542499808421, -122.40350345362641 37.79542140400175, -122.40350322796 37.79542013243121, -122.4035282595367 37.79541723831149, -122.40352822807226 37.79541698557917, -122.40355099541114 37.795414237953175, -122.4035510495997 37.795414535379194, -122.40361729498069 37.79540727194732, -122.40361733214303 37.79540725963164, -122.40361634019138 37.795402899365136, -122.40366008456203 37.79539756455363, -122.40366084117909 37.79540102921055, -122.40374896830042 37.79538885862889, -122.40374902402111 37.795389127191335, -122.40380605348516 37.79538045875167, -122.40380615604033 37.79538087075174, -122.40383443744017 37.79537746898651, -122.40382987518468 37.795355936113516, -122.40382604947969 37.79535639711688, -122.4038258848286 37.79535546792311, -122.40383102656811 37.79535464321189, -122.403831060394 37.79535463365364, -122.40382594579829 37.795331579442, -122.40382508236436 37.79533174478575, -122.4038092459579 37.79524837349997, -122.40381217473238 37.795247967532575, -122.40381221979499 37.79524795328689, -122.40380205332235 37.795201587904664, -122.40380289330427 37.79520148241962, -122.40380293718542 37.79520146639052, -122.40379353330559 37.795154368627706, -122.40378947500153 37.79515488205077, -122.40376480070309 37.79503377104205, -122.40360307785203 37.79505551822266, -122.40360293700303 37.79505480853981, -122.40349232293964 37.79506881729795, -122.40349228137511 37.79506883509194, -122.40349231789551 37.79506901925061, -122.40337009586221 37.795084622965334, -122.40337005656808 37.7950846407226, -122.40337661617328 37.79511697663023, -122.40334916767999 37.795120481099154, -122.40334912836273 37.79512049795555, -122.40335343956329 37.79514167982088, -122.40333166022016 37.79514446643664, -122.40333162090289 37.79514448329303, -122.4033464471631 37.795217754848764, -122.40334823344732 37.79521752684839, -122.40335635574833 37.79525783668008, -122.40335350493964 37.79525813863961, -122.40335347234132 37.79525815178272, -122.40336494673514 37.79530703750173, -122.40336557544727 37.79530697508322, -122.40336953828533 37.795327636263394, -122.40337002059943 37.79532757801037, -122.40337401976272 37.79534939035143, -122.40337465273906 37.795349317049556, -122.4033785112541 37.79537056029298, -122.40340685303349 37.795367298244834, -122.40341102279422 37.7953902271348, -122.4034369057206 37.79538727242918, -122.40344035258228 37.79540632336119, -122.40346811762261 37.79540315712445, -122.4034720743959 37.79542499808421))",Montgomery Washington Tower,655 Montgomery Street,208028,208028,1982,,"25 story, concrete clad steel moment frame with many setbacks",302,25,1,Mixed Uses (With Residential),Steel,Steel Moment Frame - Perimeter,Steel Moment Frame,concrete,Mat,,,400000,Type I - Fire resistive,100,Very Low,94,112,84,1982,,,,,136x124,,"12'8""","upper residential: 10'8""",,,,,,2.01802E+13,Plans at DBI,524.6471453,15910.54513
125,"POLYGON ((-122.3995086018778 37.79406069525692, -122.3995086209399 37.79406073009704, -122.3996461033739 37.79404295683349, -122.3996620373057 37.79411746003779, -122.39966205287008 37.794117491329445, -122.39967525659637 37.79412540572899, -122.39977511952634 37.7941137042122, -122.3997898883081 37.79409760767113, -122.39983486353444 37.79409352784884, -122.39983392678285 37.79409455590188, -122.39983664104857 37.794105741251535, -122.39999222741845 37.794085041660914, -122.39996708067278 37.793961143799756, -122.39995378653846 37.79396305588505, -122.39995180481097 37.7939652317955, -122.399947525967 37.79392578897161, -122.39995849613264 37.79391383159043, -122.39995848503992 37.79391379752319, -122.39995466491095 37.793911678146635, -122.39995585126019 37.79391086236135, -122.39992670232867 37.79374971796303, -122.39991561644405 37.79374357008664, -122.3997053836197 37.793772538112115, -122.39970422459453 37.79377189169145, -122.39961375359795 37.793782418079104, -122.39961356946378 37.79378121342359, -122.39946300347368 37.79380222998841, -122.39947813262405 37.79388799058205, -122.3995086018778 37.79406069525692))",353 Sacramento,353 Sacramento Street,237014,237014,1982,,"23 story, concrete and glass clad steel moment frame",294,23,1,"Office (Management, Information, Professional Services)",Steel,Steel Moment Frame - Space,Steel Moment Frame,"concrete, glass",Pile,,,306883,Type I - Fire resistive,100,Very High,214,218,210,1982,,,,,136x127,,12.5,,,,,,,2.01802E+13,Plans at DBI,535.7723463,15753.67368
117,"POLYGON ((-122.42153476660714 37.7900197393978, -122.42155335058338 37.79014834997869, -122.42203754697834 37.79008576789821, -122.42204625682449 37.79008483194902, -122.42204631093827 37.79008481664745, -122.42193283373196 37.789533541822806, -122.42178903522667 37.789548977623234, -122.42178897777774 37.78954899568268, -122.42178922061207 37.78955017321818, -122.42159725761027 37.78957527798268, -122.42159620739903 37.78957067907308, -122.42159614191085 37.78957069365856, -122.42141808616644 37.789596963856326, -122.42141802084139 37.7895969847476, -122.42150329035645 37.78996996273501, -122.42152413395635 37.78996708253217, -122.42153476660714 37.7900197393978))",Holiday Inn,1500 Van Ness Avenue,646016,646016,1974,,26 story WSMF; space frame,241,26,1,"Hotels, Visitor Services",Steel,Steel Moment Frame - Space,Steel Moment Frame,concrete,Pile,,,283000,Type I - Fire resistive,99,Moderate,170,180,158,,,,1974,,200x137,178x60,"9'6""","1st 12'3""",set back at 6th floor,,,,,2.01802E+13,Plans at DBI,711.0793884,30079.8868
124,"POLYGON ((-122.39818381441646 37.79206000857389, -122.39816017781226 37.79206421381231, -122.39814350738067 37.792069090058305, -122.39812282640604 37.792077897955565, -122.39810393352607 37.79208664011579, -122.3980903644589 37.79209524520515, -122.39807294278336 37.79210800740862, -122.3980581905994 37.7921201759991, -122.3980412350231 37.79213402386299, -122.39802150396477 37.792149872928, -122.39800302068123 37.79216371113109, -122.39798545320585 37.79217752377546, -122.39796777192446 37.792191949269466, -122.39794299885114 37.79221136445813, -122.39789413576852 37.79225061730685, -122.39786184932167 37.79227541377379, -122.39783370404832 37.792298101436636, -122.3978004318982 37.79232392310635, -122.39776943815818 37.792347224360874, -122.39774307304283 37.79236980404363, -122.39772573795297 37.792383026219305, -122.39771885747867 37.79238850906843, -122.39771597694808 37.792394398874904, -122.3977159497475 37.79240004449345, -122.3977170592389 37.792406530671386, -122.3977201250918 37.792412424810706, -122.39772017678962 37.79241249247066, -122.39772630274777 37.79241707927076, -122.39773368876374 37.79242004614287, -122.3977401517184 37.79242111099635, -122.3982434534129 37.792358560337455, -122.3982630213237 37.79235520914375, -122.3982814419691 37.79235118158324, -122.39830352477502 37.79234336585429, -122.39832690774116 37.792332123515585, -122.39834473560832 37.7923201459985, -122.39835383281941 37.79231350812042, -122.39836761988664 37.79230023662913, -122.39838532423408 37.792277875546006, -122.3983967835258 37.79225630983775, -122.39840238961453 37.79223767357214, -122.39840548910963 37.79222240493092, -122.39840588454132 37.792201136307995, -122.39840160632399 37.792177895380355, -122.3983920786315 37.79215325737843, -122.39839203816989 37.792153185031836, -122.39838009826461 37.792133829107165, -122.39836226531709 37.79211397776424, -122.39834153424071 37.79209768148893, -122.3983251348384 37.79208646138459, -122.39829899101268 37.79207433022024, -122.39827279992595 37.79206634718116, -122.39826515718782 37.79206444339798, -122.39825466615596 37.79206342449495, -122.39822874919534 37.79206203299188, -122.39821669381453 37.792058948461055, -122.39820151110311 37.79205880535642, -122.39818381441646 37.79206000857389))",388 Market Street,388 Market Street,265003,265003,1985,,"26 story, ""flat iron"" steel moment frame, concrete clad",356,26,2,Mixed Uses (With Residential),Steel,Steel Moment Frame - Perimeter,Steel Moment Frame,"concrete, glass",Pile,,,428600,Type I - Fire resistive,100,Very High,253,258,249,1985,,,,,208x147,,13,1st and 2nd: 20,,,,,,2.01802E+13,Plans at DBI,518.2814329,14873.54058
123,"POLYGON ((-122.39585829348772 37.79555695939854, -122.39656681193445 37.7954734458104, -122.39653391637198 37.795313549683, -122.39653864935293 37.79531294815546, -122.39653687885533 37.795304190739664, -122.39659095995162 37.79529678084181, -122.39658258603689 37.795245764676494, -122.3965675639133 37.79524766541513, -122.39655499268339 37.79518425122577, -122.39650822290183 37.79518866775995, -122.39648935888845 37.79509697478257, -122.39647664919391 37.79503520571652, -122.39579095334172 37.795123618583695, -122.39579900025215 37.79518800408865, -122.39577661772971 37.79519195254983, -122.39585829348772 37.79555695939854))",Four Embarcadero Cente.. [Embarcadero Center],150 Drumm Street,233044,233044,1979,,44 story concrete clad tower,565,44,2,"Office (Management, Information, Professional Services)",Steel,Steel Moment Frame - Space,Steel Moment Frame,concrete,Pile,,TRUE,1357300,Type I - Fire resistive,100,Very High,248,256,238,1979,,,,,211x150,206x126,12,,,,,D,,2.01802E+13,Plans at DBI,769.0583547,33820.81313
122,"POLYGON ((-122.40994483322716 37.791783897972294, -122.40995417233307 37.79178286531184, -122.4099691158055 37.79178121285872, -122.40999152986609 37.79177873374342, -122.41001962740148 37.791774825160225, -122.41003836662698 37.791772218110694, -122.41003955082972 37.79177821181946, -122.41036978734212 37.791737377595034, -122.41036999373388 37.79173727782141, -122.41036262174521 37.791699692317344, -122.41036285955167 37.79169966593424, -122.41036307046089 37.79169956518619, -122.4103601190184 37.79168323616472, -122.41038899628998 37.79165185580633, -122.41041208117721 37.79166428531997, -122.41041720336855 37.7916643023652, -122.41042384003471 37.791659489605934, -122.41043524902246 37.79165861893392, -122.41044154676875 37.79165484625716, -122.4104431708858 37.79164959921701, -122.41044356820458 37.791648313057344, -122.41044013664366 37.791640955279284, -122.4104517705853 37.79162817053205, -122.4104585464479 37.79162898899688, -122.41046831528 37.79162470857133, -122.41047000734517 37.79161764448593, -122.41046790023107 37.79161082760621, -122.41047886586584 37.79159947850172, -122.41048944363867 37.791598081465594, -122.41049690779865 37.791594313318285, -122.4104985905612 37.79158843267561, -122.41049647300163 37.7915820043883, -122.41049653013404 37.79157230731353, -122.4104907816322 37.791565867562326, -122.41047557499995 37.79155777502572, -122.4105085088438 37.791521986865575, -122.41052399773633 37.79152048141353, -122.41052421193439 37.79152037610585, -122.41052405925397 37.7915193854431, -122.410568797194 37.79151401930447, -122.41056900805599 37.79151391675438, -122.41056174508182 37.79147827611343, -122.41056266317631 37.79147816300513, -122.41056287848618 37.79147805677815, -122.41052573914833 37.79128837375571, -122.41052310485149 37.791288697617524, -122.41051592282399 37.79125346481203, -122.41050147505547 37.791239685947055, -122.41050160054823 37.79123961992759, -122.41048410664105 37.79115184856561, -122.41031947013421 37.79117224375369, -122.41031731125565 37.79116142722582, -122.409832550266 37.79122231451468, -122.40983243271879 37.791222380404704, -122.4098526526259 37.79132384308025, -122.4098804035487 37.7914625922086, -122.4098810385936 37.79146251252912, -122.4099116468864 37.79161278513533, -122.40991064624622 37.79161291219255, -122.4099105240883 37.79161297545366, -122.40994483322716 37.791783897972294))",The Mark Hopkins Hotel,999 California Street,255002,255002,1925,,20 story space frame with steel embedded in concrete,305,20,2,"Hotels, Visitor Services",Steel,Steel Moment Frame - Space,Steel Moment Frame,concrete,Pile,,,327000,Type I - Fire resistive,100,Very Low,70,90,47,1925,,,,,170x166,,10',"1st and mezz: 13', 15th: 12.5",,First floor is an open plan,,,,2.01802E+13,Plans at DBI,798.5261411,36991.76085
